Starttime,Stoptime
9/7/2015 19:10,9/7/2015 19:50
9/7/2015 19:17,9/7/2015 19:50
9/7/2015 19:28,9/7/2015 19:35
9/7/2015 19:28,9/7/2015 20:02
9/7/2015 19:37,9/7/2015 19:40
9/7/2015 19:39,9/7/2015 20:37
9/7/2015 19:40,9/7/2015 19:53
9/7/2015 19:45,9/7/2015 20:59
9/7/2015 19:46,9/8/2015 9:39
9/7/2015 19:50,9/7/2015 20:59
9/7/2015 19:54,9/7/2015 20:59
9/7/2015 19:55,9/8/2015 2:28
9/7/2015 19:57,9/7/2015 20:43
9/7/2015 20:00,9/7/2015 20:40
9/7/2015 20:00,9/7/2015 20:38
9/7/2015 20:00,9/7/2015 20:07
9/7/2015 20:06,9/7/2015 20:27
9/7/2015 20:11,9/7/2015 20:59
9/7/2015 20:13,9/7/2015 20:41
9/7/2015 20:14,9/7/2015 20:38
9/7/2015 20:31,9/7/2015 20:34
9/7/2015 20:34,9/7/2015 20:57
9/7/2015 20:34,9/7/2015 20:58
9/7/2015 20:37,9/7/2015 20:53
9/7/2015 20:46,9/7/2015 20:50
9/7/2015 21:02,9/7/2015 21:50
9/7/2015 21:02,9/7/2015 21:09
9/7/2015 21:11,9/7/2015 21:15
9/7/2015 21:42,9/7/2015 21:54
9/7/2015 21:48,9/7/2015 21:51
9/7/2015 22:19,9/7/2015 23:05
9/7/2015 22:28,9/7/2015 23:27
9/7/2015 22:29,9/7/2015 23:29
9/7/2015 22:50,9/7/2015 23:08
9/8/2015 5:36,9/8/2015 6:01
9/8/2015 6:19,9/8/2015 6:30
9/8/2015 6:32,9/8/2015 6:36
9/8/2015 6:32,9/8/2015 6:45
9/8/2015 6:37,9/8/2015 6:47
9/8/2015 6:42,9/8/2015 7:02
9/8/2015 6:50,9/8/2015 12:23
9/8/2015 6:51,9/8/2015 7:23
9/8/2015 6:57,9/8/2015 7:10
9/8/2015 7:12,9/8/2015 7:28
9/8/2015 7:15,9/8/2015 7:25
9/8/2015 7:19,9/8/2015 7:27
9/8/2015 7:19,9/8/2015 7:34
9/8/2015 7:21,9/8/2015 7:48
9/8/2015 7:23,9/8/2015 7:40
9/8/2015 7:36,9/8/2015 7:52
9/8/2015 7:39,9/8/2015 7:58
9/8/2015 7:44,9/8/2015 7:53
9/8/2015 7:44,9/8/2015 7:53
9/8/2015 7:49,9/8/2015 7:54
9/8/2015 7:49,9/8/2015 7:53
9/8/2015 7:50,9/8/2015 8:13
9/8/2015 7:52,9/8/2015 8:15
9/8/2015 7:56,9/8/2015 8:05
9/8/2015 8:02,9/8/2015 8:14
9/8/2015 8:06,9/8/2015 8:13
9/8/2015 8:06,9/8/2015 8:26
9/8/2015 8:07,9/8/2015 8:23
9/8/2015 8:11,9/8/2015 8:27
9/8/2015 8:12,9/8/2015 8:34
9/8/2015 8:13,9/8/2015 8:36
9/8/2015 8:14,9/8/2015 8:32
9/8/2015 8:15,9/8/2015 8:21
9/8/2015 8:16,9/8/2015 8:35
9/8/2015 8:22,9/8/2015 8:27
9/8/2015 8:27,9/8/2015 8:32
9/8/2015 8:30,9/8/2015 8:48
9/8/2015 8:36,9/8/2015 9:06
9/8/2015 8:38,9/8/2015 8:48
9/8/2015 8:39,9/8/2015 8:53
9/8/2015 8:39,9/8/2015 8:52
9/8/2015 8:48,9/8/2015 12:05
9/8/2015 8:49,9/8/2015 12:05
9/8/2015 8:49,9/8/2015 12:05
9/8/2015 8:49,9/8/2015 8:59
9/8/2015 8:51,9/8/2015 8:59
9/8/2015 8:53,9/8/2015 9:05
9/8/2015 8:53,9/8/2015 8:59
9/8/2015 8:57,9/8/2015 9:36
9/8/2015 8:57,9/8/2015 9:08
9/8/2015 9:12,9/8/2015 9:29
9/8/2015 9:13,9/8/2015 9:26
9/8/2015 9:13,9/8/2015 11:13
9/8/2015 9:14,9/8/2015 9:42
9/8/2015 9:18,9/8/2015 9:28
9/8/2015 9:19,9/8/2015 9:26
9/8/2015 9:21,9/8/2015 9:32
9/8/2015 9:22,9/8/2015 9:28
9/8/2015 9:24,9/8/2015 9:30
9/8/2015 9:26,9/8/2015 9:41
9/8/2015 9:29,9/8/2015 10:07
9/8/2015 9:39,9/8/2015 9:49
9/8/2015 9:40,9/8/2015 9:57
9/8/2015 9:41,9/8/2015 9:49
9/8/2015 9:47,9/8/2015 10:03
9/8/2015 9:49,9/8/2015 9:52
9/8/2015 9:53,9/8/2015 10:02
9/8/2015 9:54,9/8/2015 9:58
9/8/2015 9:58,9/8/2015 10:03
9/8/2015 9:58,9/8/2015 10:02
9/8/2015 9:59,9/8/2015 10:09
9/8/2015 10:00,9/8/2015 10:09
9/8/2015 10:04,9/8/2015 10:16
9/8/2015 10:04,9/8/2015 10:16
9/8/2015 10:14,9/8/2015 10:31
9/8/2015 10:18,9/8/2015 10:23
9/8/2015 10:23,9/8/2015 11:10
9/8/2015 10:25,9/8/2015 10:43
9/8/2015 10:26,9/8/2015 11:18
9/8/2015 10:26,9/8/2015 10:37
9/8/2015 10:27,9/8/2015 11:20
9/8/2015 10:39,9/8/2015 10:52
9/8/2015 10:43,9/8/2015 10:56
9/8/2015 10:46,9/8/2015 10:52
9/8/2015 10:52,9/8/2015 11:10
