Starttime,Stoptime
9/19/2015 15:21,9/19/2015 15:32
9/19/2015 15:21,9/19/2015 15:23
9/19/2015 15:23,9/19/2015 15:45
9/19/2015 15:24,9/19/2015 15:34
9/19/2015 15:24,9/19/2015 15:27
9/19/2015 15:24,9/19/2015 15:33
9/19/2015 15:25,9/19/2015 15:31
9/19/2015 15:25,9/19/2015 15:34
9/19/2015 15:28,9/19/2015 15:49
9/19/2015 15:29,9/19/2015 15:32
9/19/2015 15:30,9/19/2015 16:33
9/19/2015 15:32,9/19/2015 15:38
9/19/2015 15:32,9/19/2015 15:49
9/19/2015 15:33,9/19/2015 15:47
9/19/2015 15:34,9/19/2015 15:47
9/19/2015 15:34,9/19/2015 15:44
9/19/2015 15:42,9/19/2015 15:47
9/19/2015 15:42,9/19/2015 15:47
9/19/2015 15:45,9/19/2015 16:24
9/19/2015 15:47,9/19/2015 16:23
9/19/2015 15:50,9/19/2015 17:32
9/19/2015 15:50,9/19/2015 19:21
9/19/2015 15:52,9/19/2015 19:21
9/19/2015 15:54,9/19/2015 19:41
9/19/2015 15:55,9/19/2015 19:41
9/19/2015 15:57,9/19/2015 16:44
9/19/2015 15:58,9/19/2015 17:08
9/19/2015 15:58,9/19/2015 16:24
9/19/2015 15:58,9/19/2015 16:24
9/19/2015 16:00,9/19/2015 16:12
9/19/2015 16:00,9/19/2015 16:13
9/19/2015 16:01,9/19/2015 16:07
9/19/2015 16:05,9/19/2015 16:39
9/19/2015 16:07,9/19/2015 17:20
9/19/2015 16:07,9/19/2015 18:29
9/19/2015 16:07,9/19/2015 18:30
9/19/2015 16:09,9/19/2015 17:20
9/19/2015 16:10,9/19/2015 17:20
9/19/2015 16:10,9/19/2015 18:05
9/19/2015 16:10,9/19/2015 16:12
9/19/2015 16:10,9/19/2015 16:12
9/19/2015 16:10,9/19/2015 16:13
9/19/2015 16:11,9/19/2015 16:21
9/19/2015 16:11,9/19/2015 16:20
9/19/2015 16:13,9/19/2015 17:19
9/19/2015 16:13,9/19/2015 17:19
9/19/2015 16:14,9/19/2015 18:05
9/19/2015 16:14,9/19/2015 16:41
9/19/2015 16:14,9/19/2015 18:05
9/19/2015 16:15,9/20/2015 15:05
9/19/2015 16:15,9/19/2015 18:04
9/19/2015 16:15,9/19/2015 16:29
9/19/2015 16:15,9/19/2015 18:05
9/19/2015 16:16,9/19/2015 16:20
9/19/2015 16:18,9/19/2015 17:16
9/19/2015 16:18,9/19/2015 18:05
9/19/2015 16:19,9/19/2015 16:49
9/19/2015 16:19,9/19/2015 16:24
9/19/2015 16:22,9/19/2015 17:16
9/19/2015 16:26,9/19/2015 16:31
9/19/2015 16:26,9/19/2015 16:36
9/19/2015 16:29,9/19/2015 18:22
9/19/2015 16:35,9/19/2015 18:22
9/19/2015 16:38,9/19/2015 16:53
9/19/2015 16:41,9/19/2015 17:45
9/19/2015 16:42,9/19/2015 17:44
9/19/2015 16:42,9/19/2015 17:24
9/19/2015 16:43,9/19/2015 18:18
9/19/2015 16:44,9/19/2015 18:19
9/19/2015 16:44,9/19/2015 17:21
9/19/2015 16:45,9/19/2015 17:21
9/19/2015 16:45,9/19/2015 18:20
9/19/2015 16:45,9/19/2015 18:19
9/19/2015 16:47,9/19/2015 17:24
9/19/2015 16:48,9/19/2015 17:25
9/19/2015 16:48,9/19/2015 17:24
9/19/2015 16:48,9/19/2015 17:46
9/19/2015 16:49,9/19/2015 17:25
9/19/2015 16:50,9/19/2015 17:56
9/19/2015 16:51,9/19/2015 17:56
9/19/2015 16:51,9/19/2015 16:53
9/19/2015 16:53,9/19/2015 16:59
9/19/2015 16:53,9/19/2015 17:28
9/19/2015 16:54,9/19/2015 17:28
9/19/2015 16:55,9/19/2015 17:29
9/19/2015 16:57,9/19/2015 19:17
9/19/2015 16:57,9/19/2015 19:17
9/19/2015 16:57,9/19/2015 17:21
9/19/2015 16:57,9/19/2015 17:21
9/19/2015 16:58,9/19/2015 19:18
9/19/2015 17:04,9/19/2015 17:12
9/19/2015 17:06,9/19/2015 17:16
9/19/2015 17:08,9/19/2015 17:15
9/19/2015 17:08,9/19/2015 17:33
9/19/2015 17:09,9/19/2015 17:21
9/19/2015 17:10,9/19/2015 17:21
9/19/2015 17:11,9/19/2015 17:21
9/19/2015 17:12,9/19/2015 17:40
9/19/2015 17:14,9/19/2015 17:58
9/19/2015 17:15,9/19/2015 18:06
9/19/2015 17:16,9/19/2015 18:33
9/19/2015 17:17,9/19/2015 18:30
9/19/2015 17:18,9/19/2015 17:44
9/19/2015 17:19,9/19/2015 17:45
9/19/2015 17:25,9/19/2015 17:55
9/19/2015 17:25,9/19/2015 17:29
9/19/2015 17:25,9/19/2015 17:55
9/19/2015 17:25,9/19/2015 17:34
9/19/2015 17:30,9/19/2015 17:33
9/19/2015 17:34,9/19/2015 17:54
9/19/2015 17:35,9/19/2015 17:52
9/19/2015 17:37,9/19/2015 17:39
9/19/2015 17:37,9/19/2015 17:56
9/19/2015 17:40,9/19/2015 18:14
9/19/2015 17:45,9/19/2015 19:21
9/19/2015 17:51,9/19/2015 19:41
9/19/2015 18:05,9/19/2015 18:16
9/19/2015 18:18,9/19/2015 18:33
9/19/2015 18:22,9/19/2015 19:44
9/19/2015 18:23,9/19/2015 19:44
9/19/2015 18:27,9/19/2015 19:21
9/19/2015 18:34,9/19/2015 19:20
9/19/2015 18:35,9/19/2015 19:20
9/19/2015 18:35,9/19/2015 18:52
9/19/2015 18:40,9/19/2015 19:52
9/19/2015 18:43,9/19/2015 19:51
9/19/2015 18:44,9/19/2015 19:52
9/19/2015 18:45,9/19/2015 19:52
9/19/2015 18:46,9/19/2015 19:52
9/19/2015 18:53,9/19/2015 19:52
9/19/2015 18:53,9/19/2015 19:20
9/19/2015 18:53,9/19/2015 19:52
9/19/2015 18:54,9/19/2015 19:51
9/19/2015 18:56,9/19/2015 19:52
9/19/2015 18:57,9/19/2015 19:52
9/19/2015 19:26,9/19/2015 19:30
9/19/2015 19:35,9/19/2015 19:38
9/19/2015 19:47,9/19/2015 19:49
9/19/2015 19:50,9/19/2015 19:55
9/19/2015 20:28,9/19/2015 20:39
9/19/2015 20:41,9/19/2015 20:47
9/19/2015 20:44,9/19/2015 21:05
9/19/2015 21:25,9/19/2015 21:44
9/19/2015 21:39,9/19/2015 21:46
9/19/2015 21:39,9/19/2015 21:46
9/19/2015 21:47,9/19/2015 21:53
9/19/2015 21:54,9/19/2015 21:56
9/19/2015 21:57,9/19/2015 22:05
9/19/2015 22:16,9/19/2015 22:28
9/19/2015 22:44,9/19/2015 22:50
9/19/2015 22:58,9/19/2015 23:03
9/19/2015 23:17,9/19/2015 23:33
9/19/2015 23:24,9/19/2015 23:56
9/19/2015 23:32,9/19/2015 23:38
9/19/2015 23:39,9/20/2015 0:06
9/19/2015 23:58,9/20/2015 21:31
9/19/2015 23:59,9/20/2015 21:31
9/20/2015 0:00,9/20/2015 0:04
9/20/2015 0:03,9/20/2015 0:06
9/20/2015 0:05,9/20/2015 0:18
9/20/2015 0:06,9/20/2015 0:18
9/20/2015 0:44,9/20/2015 0:50
