Starttime,Stoptime
8/11/2015 13:32,8/11/2015 13:44
8/11/2015 13:33,8/11/2015 13:40
8/11/2015 13:34,8/11/2015 13:39
8/11/2015 13:35,8/11/2015 14:07
8/11/2015 13:52,8/11/2015 14:06
8/11/2015 13:53,8/11/2015 14:07
8/11/2015 13:54,8/11/2015 14:42
8/11/2015 13:56,8/11/2015 15:09
8/11/2015 14:00,8/11/2015 14:44
8/11/2015 14:04,8/11/2015 15:33
8/11/2015 14:09,8/11/2015 14:33
8/11/2015 14:09,8/11/2015 14:32
8/11/2015 14:12,8/11/2015 14:18
8/11/2015 14:12,8/11/2015 15:30
8/11/2015 14:15,8/11/2015 14:35
8/11/2015 14:27,8/11/2015 14:38
8/11/2015 14:27,8/11/2015 16:29
8/11/2015 14:33,8/11/2015 14:48
8/11/2015 14:33,8/11/2015 14:47
8/11/2015 14:34,8/11/2015 16:51
8/11/2015 14:35,8/11/2015 15:43
8/11/2015 14:37,8/11/2015 16:51
8/11/2015 14:42,8/11/2015 14:49
8/11/2015 14:44,8/11/2015 14:58
8/11/2015 14:45,8/11/2015 15:11
8/11/2015 14:45,8/11/2015 15:04
8/11/2015 14:49,8/11/2015 15:49
8/11/2015 14:49,8/11/2015 15:49
8/11/2015 14:51,8/11/2015 15:03
8/11/2015 14:52,8/11/2015 15:04
8/11/2015 14:56,8/11/2015 15:09
8/11/2015 14:59,8/11/2015 15:50
8/11/2015 15:01,8/11/2015 15:50
8/11/2015 15:02,8/11/2015 15:13
8/11/2015 15:04,8/11/2015 15:18
8/11/2015 15:05,8/11/2015 15:18
8/11/2015 15:08,8/11/2015 16:04
8/11/2015 15:09,8/11/2015 15:24
8/11/2015 15:09,8/11/2015 15:17
8/11/2015 15:19,8/11/2015 15:37
8/11/2015 15:27,8/11/2015 16:11
8/11/2015 15:29,8/11/2015 15:44
8/11/2015 15:33,8/11/2015 16:13
8/11/2015 15:35,8/11/2015 16:14
8/11/2015 15:35,8/11/2015 16:38
8/11/2015 15:35,8/11/2015 16:39
8/11/2015 15:40,8/11/2015 15:59
8/11/2015 15:42,8/11/2015 16:08
8/11/2015 15:45,8/11/2015 15:58
8/11/2015 15:45,8/11/2015 16:09
8/11/2015 15:46,8/11/2015 16:26
8/11/2015 15:54,8/11/2015 16:07
8/11/2015 15:55,8/11/2015 16:16
8/11/2015 15:58,8/11/2015 16:29
8/11/2015 16:00,8/11/2015 17:07
8/11/2015 16:00,8/11/2015 17:08
8/11/2015 16:02,8/11/2015 16:23
8/11/2015 16:02,8/11/2015 16:14
8/11/2015 16:03,8/11/2015 16:37
8/11/2015 16:08,8/11/2015 16:16
8/11/2015 16:11,8/11/2015 17:23
8/11/2015 16:11,8/11/2015 16:15
8/11/2015 16:11,8/11/2015 16:32
8/11/2015 16:15,8/11/2015 17:19
8/11/2015 16:21,8/11/2015 16:55
8/11/2015 16:22,8/11/2015 17:45
8/11/2015 16:23,8/11/2015 17:40
8/11/2015 16:29,8/11/2015 16:35
8/11/2015 16:30,8/11/2015 16:48
8/11/2015 16:31,8/11/2015 16:52
8/11/2015 16:31,8/11/2015 16:52
8/11/2015 16:31,8/11/2015 18:01
8/11/2015 16:35,8/11/2015 16:41
8/11/2015 16:36,8/11/2015 16:55
8/11/2015 16:45,8/11/2015 16:52
8/11/2015 16:52,8/11/2015 17:02
8/11/2015 16:54,8/11/2015 17:15
8/11/2015 16:55,8/11/2015 17:15
8/11/2015 17:00,8/11/2015 17:17
8/11/2015 17:00,8/11/2015 17:17
8/11/2015 17:00,8/11/2015 17:49
8/11/2015 17:02,8/11/2015 17:09
8/11/2015 17:04,8/11/2015 17:31
8/11/2015 17:04,8/11/2015 18:31
8/11/2015 17:05,8/11/2015 17:24
8/11/2015 17:08,8/11/2015 18:31
8/11/2015 17:09,8/11/2015 17:36
8/11/2015 17:10,8/11/2015 17:33
8/11/2015 17:12,8/11/2015 17:27
8/11/2015 17:12,8/11/2015 17:21
8/11/2015 17:14,8/11/2015 17:18
8/11/2015 17:15,8/11/2015 17:30
8/11/2015 17:15,8/11/2015 18:31
8/11/2015 17:16,8/11/2015 17:35
8/11/2015 17:17,8/11/2015 18:31
8/11/2015 17:17,8/11/2015 19:51
8/11/2015 17:17,8/11/2015 17:26
8/11/2015 17:19,8/11/2015 19:51
8/11/2015 17:22,8/11/2015 21:10
8/11/2015 17:24,8/11/2015 17:43
8/11/2015 17:24,8/11/2015 21:08
8/11/2015 17:25,8/11/2015 17:30
8/11/2015 17:27,8/11/2015 18:21
8/11/2015 17:29,8/11/2015 17:43
